NIP,Label,MD,MI,MS,MC,LD,LI,LS,LC,CD,CI,CS,CC,N,G,A,L,P,I,T,V,X,S,B,O,R,D,C,Z,E,K,F,W,DA,FLX,KM,KN,KP,KV,KS,KI,LB,MB,OH,PM,SK
21977735,HA,2,1,7,6,7,8,3,2,-5,-7,4,4,6,5,6,5,2,4,6,5,3,3,6,3,4,4,5,7,4,3,3,6,4,2,2,2,4,4,2,3,2,3,4,3,4
21977736,HA,2,3,9,4,8,3,1,5,-6,0,8,-1,7,5,4,4,3,1,2,1,2,7,5,5,8,4,8,6,5,2,7,4,3,3,3,2,4,3,4,3,3,2,3,3,3
21987704,HA,1,2,7,5,10,8,0,1,-9,-6,7,4,4,5,5,3,3,8,8,1,2,5,6,7,5,2,6,7,2,2,4,5,5,2,2,5,4,5,2,3,5,3,4,3,4
21687713,HA,4,4,7,4,9,5,3,2,-5,-1,4,2,6,8,5,5,4,3,2,8,2,5,2,8,3,3,6,2,2,5,5,6,2,2,2,1,3,3,2,3,2,2,4,2,4
21687728,HA,4,5,5,2,9,3,2,5,-5,2,3,-3,4,6,6,5,5,1,2,4,3,6,3,7,4,5,7,5,5,7,5,6,3,4,2,1,3,3,3,4,2,3,4,2,3
21687746,HA,3,1,6,5,8,4,2,4,-5,-3,4,1,8,4,7,1,4,3,0,6,4,5,2,6,4,7,9,3,6,2,3,6,2,3,1,1,3,1,3,3,1,3,3,2,3
21727721,HA,0,2,4,7,10,3,1,4,-10,-1,3,3,6,4,5,3,5,3,3,3,4,4,3,5,8,6,6,5,5,4,3,5,2,3,2,2,4,2,3,3,2,2,4,2,4
21727760,HA,1,3,9,4,9,3,0,5,-8,0,9,-1,5,5,4,0,6,5,2,2,2,7,5,5,3,7,8,5,6,7,4,7,2,3,3,3,3,4,4,3,3,2,3,3,3
21707720,HA,9,2,2,3,5,4,4,6,4,-2,-2,-3,6,5,7,2,5,3,6,8,3,8,3,5,3,3,2,2,5,3,4,7,2,2,3,1,3,2,3,2,2,3,3,4,2
21717729,HA,6,1,3,6,5,6,4,3,1,-5,-1,3,6,5,2,2,5,3,5,2,2,6,1,3,2,6,8,8,6,7,4,7,3,2,3,3,4,3,2,3,3,2,3,4,3
